,Positif Harian (Jakarta),Tes Harian,Positif Harian,Positivity Rate Harian
0,1159,1297,49,0.03777949113
1,1616,1425,60,0.04210526316
2,1834,1371,97,0.07075127644
3,1783,737,33,0.0447761194
4,867,502,18,0.03585657371
5,1040,8160,262,0.03210784314
6,1754,2526,111,0.04394299287
7,1873,2119,117,0.05521472393
8,1034,1647,55,0.03339404979
9,1204,2617,107,0.04088651127
10,1555,1513,51,0.03370786517
11,835,4115,114,0.02770352369
12,1330,3473,104,0.02994529225
13,1719,4173,133,0.03187155524
14,1588,3214,91,0.02831362788
15,1937,3402,93,0.02733686067
16,1638,2310,71,0.03073593074
17,1474,1268,45,0.03548895899
18,815,3533,99,0.02802151146
19,890,3954,121,0.0306019221
20,1726,3719,99,0.02662005916
21,1381,3871,106,0.02738310514
22,1354,3790,104,0.02744063325
23,1470,1645,57,0.03465045593
24,1014,1960,48,0.02448979592
25,384,3731,69,0.01849370142
26,965,3797,88,0.02317619173
27,1337,3655,78,0.02134062927
28,1240,3383,68,0.02010050251
29,1098,1631,30,0.01839362354
30,736,2216,51,0.02301444043
31,523,1786,20,0.01119820829
